gene,pooled_iDA1_4_n_HC,pooled_iDA1_4_n_iPD,pooled_iDA1_4_disease_coefficient_fisher_z,pooled_iDA1_4_HC3_95CI_low,pooled_iDA1_4_HC3_95CI_high,pooled_iDA1_4_raw_wild_P,pooled_iDA1_4_BH_q_joint86,pooled_iDA1_4_mean_r_HC,pooled_iDA1_4_mean_r_iPD,pooled_iDA1_4_display,pooled_iDA1_4_raw_wild_P_display,pooled_iDA1_4_BH_q_display,direct_specificity_n_HC,direct_specificity_n_iPD,direct_specificity_disease_coefficient_fisher_z,direct_specificity_HC3_95CI_low,direct_specificity_HC3_95CI_high,direct_specificity_raw_wild_P,direct_specificity_BH_q_joint86,direct_specificity_mean_r_HC,direct_specificity_mean_r_iPD,direct_specificity_display,direct_specificity_raw_wild_P_display,direct_specificity_BH_q_display
ATG10,8,28,-0.0189742934646721,-0.0443103725180056,0.0063617855886612,0.09395,0.6081242424242425,0.0127792254570466,-0.003430180346204,"-0.0190 (-0.0443, 0.0064)",0.094,0.608,8,28,-0.0249349493698364,-0.0612002796169482,0.0113303808772752,0.17895,0.6081242424242425,,,"-0.0249 (-0.0612, 0.0113)",0.179,0.608
ATG101,8,28,0.0061625744064492,-0.0159985029052688,0.0283236517181673,0.47755,0.7748924528301886,0.0304033513756213,0.0314584419880423,"0.0062 (-0.0160, 0.0283)",0.478,0.775,8,28,0.0045449908743665,-0.0203918083082095,0.0294817900569427,0.6557,0.8876140625,,,"0.0045 (-0.0204, 0.0295)",0.656,0.888
ATG12,8,28,-0.0101473796717582,-0.0517942176087638,0.0314994582652474,0.7378,0.9226256410256408,0.0092914656107629,0.008984332329036,"-0.0101 (-0.0518, 0.0315)",0.738,0.923,8,28,0.00802011636677,-0.0352518165769382,0.0512920493104784,0.7239,0.9226256410256408,,,"0.0080 (-0.0353, 0.0513)",0.724,0.923
ATG13,8,28,-0.0101132843358016,-0.0401124589214246,0.0198858902498214,0.3229,0.741105,-0.0047695743354176,-0.0123534350126693,"-0.0101 (-0.0401, 0.0199)",0.323,0.741,8,28,-0.0053385267759573,-0.0351484123572049,0.0244713588052903,0.59705,0.8702762711864407,,,"-0.0053 (-0.0351, 0.0245)",0.597,0.870
ATG16L1,8,28,-0.0009498893713094,-0.0341711222259681,0.0322713434833493,0.94165,0.964070238095238,0.0235610832459272,0.0140183907172213,"-0.0009 (-0.0342, 0.0323)",0.942,0.964,8,28,0.0203598266176984,-0.0443951871582294,0.0851148403936264,0.51235,0.8011290909090909,,,"0.0204 (-0.0444, 0.0851)",0.512,0.801
ATG2A,8,28,-0.0140727322803996,-0.0348115769475929,0.0066661123867937,0.08415,0.6081242424242425,-0.0070207472720384,-0.0121634446723356,"-0.0141 (-0.0348, 0.0067)",0.084,0.608,8,28,-0.0236421784779232,-0.0598732097174909,0.0125888527616444,0.1269,0.6081242424242425,,,"-0.0236 (-0.0599, 0.0126)",0.127,0.608
ATG2B,8,28,0.0185300815782196,-0.0157002108760865,0.0527603740325258,0.21125,0.6081242424242425,-0.0056356392970359,0.0008065530537301,"0.0185 (-0.0157, 0.0528)",0.211,0.608,8,28,0.0324695006850812,0.0006066690244125,0.0643323323457499,0.06325,0.6081242424242425,,,"0.0325 (0.0006, 0.0643)",0.063,0.608
ATG3,8,28,-0.0111810314291601,-0.0579377747947487,0.0355757119364284,0.57755,0.8563672413793103,0.0235141343067716,0.0238524011382835,"-0.0112 (-0.0579, 0.0356)",0.578,0.856,8,28,-0.0202343850043896,-0.0701250358120587,0.0296562658032793,0.3367,0.741105,,,"-0.0202 (-0.0701, 0.0297)",0.337,0.741
ATG4B,8,28,-0.0077219822209406,-0.0358599722578319,0.0204160078159507,0.5387,0.8272892857142856,0.0166013432435733,0.005178399371984,"-0.0077 (-0.0359, 0.0204)",0.539,0.827,8,28,-0.0152504827630762,-0.0604107404697893,0.0299097749436368,0.45,0.7748924528301886,,,"-0.0153 (-0.0604, 0.0299)",0.450,0.775
ATG4C,8,28,0.0195445496723732,-0.0069992654042883,0.0460883647490347,0.1385,0.6081242424242425,-0.0072871519933657,-0.0010846676636906,"0.0195 (-0.0070, 0.0461)",0.139,0.608,8,28,0.0058102676444607,-0.0273876648656557,0.0390082001545771,0.66055,0.8876140625,,,"0.0058 (-0.0274, 0.0390)",0.661,0.888
ATG5,8,28,-0.0194672683711707,-0.0534946415498536,0.0145601048075122,0.1937,0.6081242424242425,0.0234861585535462,0.0026220091165292,"-0.0195 (-0.0535, 0.0146)",0.194,0.608,8,28,-0.027852549214854,-0.0781132550448826,0.0224081566151745,0.2233,0.6081242424242425,,,"-0.0279 (-0.0781, 0.0224)",0.223,0.608
ATG7,8,28,0.0084128485335445,-0.0310748888933966,0.0479005859604858,0.6235,0.8876140625,0.0112028661844043,0.0142075538601239,"0.0084 (-0.0311, 0.0479)",0.624,0.888,8,28,0.01006154246051,-0.0375656556689294,0.0576887405899496,0.63915,0.8876140625,,,"0.0101 (-0.0376, 0.0577)",0.639,0.888
