dataset,scenario,method,gene,n_HC,n_iPD,r_HC,r_iPD,delta_r,ci_delta_low,ci_delta_high,p_fisher,bootstrap_valid,uncertainty_note,q_fisher_panel,q_fisher_global_primary_scrna
scRNA_iDA_pooled,primary,Pearson,ATG10,8,28,0.6730397352022536,0.07110913346281014,-0.6019306017394435,-1.0381986522471984,0.4083549126658595,0.12830324630497267,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.8970249515146085
scRNA_iDA_pooled,primary,Pearson,ATG12,8,28,0.6783768203737081,0.4597448985108085,-0.21863192186289954,-0.6861948765294441,0.9184874067425929,0.5017114196613379,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.9130084138713394
scRNA_iDA_pooled,primary,Pearson,ATG13,8,28,-0.6091407147978384,-0.503541004819334,0.10559970997850443,-0.4654995842372024,0.5972170725619557,0.7540058040286163,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.9805883562493368
scRNA_iDA_pooled,primary,Pearson,ATG16L1,8,28,0.33682816182075864,0.4422488124363011,0.10542065061554245,-0.5957584225349482,0.7791181411159486,0.7993719059596238,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.9922092915065475
scRNA_iDA_pooled,primary,Pearson,ATG2A,8,28,-0.5815339368895996,-0.717560817271623,-0.13602688038202337,-0.7178960357936073,0.24021871345214024,0.6273567636811691,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.9587202768421428
scRNA_iDA_pooled,primary,Pearson,ATG2B,8,28,0.1172895010642597,0.12742358238865625,0.010134081324396554,-0.6889480643037642,0.9251612076208078,0.9832450959780601,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.9994981646403215
scRNA_iDA_pooled,primary,Pearson,ATG3,8,28,0.7851452221739212,0.6306785284371024,-0.15446669373681887,-0.4849052538540221,0.6894798434777316,0.5187682464817862,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.9259143380340792
scRNA_iDA_pooled,primary,Pearson,ATG4B,8,28,-0.22098612447504093,-0.2443760434333302,-0.023389918958289263,-0.9647660689156212,0.7263137834897405,0.959739623526003,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.9974189108758099
scRNA_iDA_pooled,primary,Pearson,ATG4C,8,28,0.2462158871589116,-0.10577173417149319,-0.3519876213304048,-1.0296477294908635,0.3558244229639561,0.46548524260161495,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.9060280057488495
scRNA_iDA_pooled,primary,Pearson,ATG5,8,28,0.08911181202507247,0.16000432859384747,0.070892516568775,-0.7093193914874821,0.9571552997035913,0.8830880011879197,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.9922092915065475
scRNA_iDA_pooled,primary,Pearson,ATG7,8,28,0.11507408696567954,0.2373894912369105,0.12231540427123096,-0.6840161087887255,1.3843739340861765,0.7963657736300067,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.9922092915065475
scRNA_iDA_pooled,primary,Pearson,ATG9B,8,28,0.017252677620034178,0.527799454580399,0.5105467769603649,-0.5483477578780249,1.3289245992627086,0.2447597237106608,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.8970249515146085
scRNA_iDA_pooled,primary,Pearson,ATG101,8,28,0.27540623094853584,0.2661623211294248,-0.009243909819111051,-0.7542227216988043,0.6047416865124767,0.983754365937393,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.9994981646403215
scRNA_iDA_pooled,primary,Pearson,BCL2,8,28,-0.4666540532636578,0.07847559797853391,0.5451296512421917,-0.37744218164457455,1.1980845375261822,0.23289066307063544,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.8970249515146085
scRNA_iDA_pooled,primary,Pearson,BECN1,8,28,0.10037419886604852,0.1241685966902409,0.023794397824192376,-0.7780966981697345,1.0524628831018832,0.9607657948119099,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.9974189108758099
scRNA_iDA_pooled,primary,Pearson,CALCOCO2,8,28,-0.7519015923275284,-0.5618890825728214,0.19001250975470696,-0.1568626312935111,0.606482399010387,0.48546134348551206,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.9060280057488495
scRNA_iDA_pooled,primary,Pearson,CLEC16A,8,28,0.0208816540493297,0.2962164663318477,0.27533481228251805,-0.6304419700659569,1.0802840397133382,0.5614445854643826,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.9436456631828799
scRNA_iDA_pooled,primary,Pearson,CTNS,8,28,0.5749783000534823,0.2586223896375973,-0.31635591041588496,-0.901255696443034,0.3886982717077819,0.42563110216048927,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.9023729489886372
scRNA_iDA_pooled,primary,Pearson,EPG5,8,28,0.43968851639725703,0.442674372132006,0.0029858557347489656,-0.6017112667896873,0.5408350204409774,0.9939617592723814,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.9994981646403215
scRNA_iDA_pooled,primary,Pearson,GRN,8,28,-0.5030801811372103,-0.5656707788626602,-0.06259059772544984,-0.9247690004693803,0.45609356244464566,0.8579054177794717,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.9922092915065475
scRNA_iDA_pooled,primary,Pearson,GABARAP,8,28,0.4205426986599219,-0.05205587635254489,-0.47259857501246677,-1.0765932699137863,0.8489981982919527,0.3069950298545231,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.8970249515146085
scRNA_iDA_pooled,primary,Pearson,GABARAPL1,8,28,0.809249114785439,0.32905101091182754,-0.4801981038736115,-0.8900248466886084,0.5008779096604957,0.10993905302833891,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.8488235078187285
scRNA_iDA_pooled,primary,Pearson,GABARAPL2,8,28,0.5711981142259618,0.03394876019295762,-0.5372493540330041,-1.0855237491355687,0.008389010619538137,0.2090969284403612,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.8970249515146085
scRNA_iDA_pooled,primary,Pearson,LAMP2,8,28,-0.5850978488850354,-0.47097266065219906,0.1141251882328363,-0.6462173437350319,0.6410165198033878,0.7457326504417291,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.9797252933099247
scRNA_iDA_pooled,primary,Pearson,MAP1LC3A,8,28,0.6218306091769941,0.49276437542048945,-0.1290662337565046,-0.5641241968033321,0.6069913862847853,0.7007381923823566,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.9731315395023393
scRNA_iDA_pooled,primary,Pearson,MAP1LC3B,8,28,0.9109165106093103,0.7230100808491557,-0.1879064297601546,-0.4901302330565428,-0.016303499126882167,0.20642965281610048,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.8970249515146085
scRNA_iDA_pooled,primary,Pearson,NBR1,8,28,-0.5495802792161404,-0.5529705806532238,-0.0033903014370834095,-0.8681977811574748,0.5065975959018263,0.9920677119369207,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.9994981646403215
scRNA_iDA_pooled,primary,Pearson,OPTN,8,28,0.758325466312862,0.7114688228132646,-0.046856643499597395,-0.35280333417395277,0.10100471980053992,0.8348913830277916,10000,Percentile donor bootstrap; small-control-cohort limitations apply.,0.9939617592723814,0.9922092915065475
