scenario,context,method,test,n_HC,n_PD,design,gene,status,effect_z,ci_low,ci_high,se_hc3,t_hc3,df,max_leverage,p_wild,p_hc3_t,mean_value_HC,mean_value_PD,q_BH_planned_edges
published_primary,DA,rna_qc_library,panel,8,5,intercept + female + age_per_10_years + bank_Umaryland + PD,ATG10,tested,0.03079507718497758,-0.04312326618672063,0.10471342055667579,0.03205473149363131,0.9607030148137724,8.0,0.6049802273850715,0.22555,0.3648345099205169,-0.026535469810300534,0.009459047235690873,1.0
published_primary,DA,rna_qc_library,panel,8,5,intercept + female + age_per_10_years + bank_Umaryland + PD,ATG12,tested,0.034482210057086515,-0.13817151897571117,0.2071359390898842,0.07487138744020475,0.4605525720306088,8.0,0.6049802273850715,0.57555,0.6573801332782622,-0.014548865967101325,-0.0028336019335345576,1.0
published_primary,DA,rna_qc_library,panel,8,5,intercept + female + age_per_10_years + bank_Umaryland + PD,ATG13,tested,0.03014413199752886,-0.16375948603728452,0.22404775003234223,0.08408641384851956,0.3584899226625727,8.0,0.6049802273850715,0.66935,0.7292527154326222,-0.01668904878329274,0.0038938535092234833,1.0
published_primary,DA,rna_qc_library,panel,8,5,intercept + female + age_per_10_years + bank_Umaryland + PD,ATG16L1,tested,-0.04836013600826983,-0.2299255961845856,0.13320532416804595,0.07873596470098625,-0.6142064327518688,8.0,0.6049802273850715,0.4487,0.556138675289499,-0.012705425312402107,-0.08767940647757605,1.0
published_primary,DA,rna_qc_library,panel,8,5,intercept + female + age_per_10_years + bank_Umaryland + PD,ATG2A,tested,-0.05716463272219665,-0.222048425928337,0.1077191604839437,0.07150195036565028,-0.7994835445727742,8.0,0.6049802273850715,0.471,0.44709590177550207,-0.00199575690824926,-0.02127003226766509,1.0
published_primary,DA,rna_qc_library,panel,8,5,intercept + female + age_per_10_years + bank_Umaryland + PD,ATG2B,tested,-0.11708368505493574,-0.26012149258146744,0.02595412247159598,0.06202842629528147,-1.8875810986654413,8.0,0.6049802273850715,0.0327,0.09578182788512404,0.007829212736195874,-0.07180645078035558,0.8936780487804877
published_primary,DA,rna_qc_library,panel,8,5,intercept + female + age_per_10_years + bank_Umaryland + PD,ATG3,tested,-0.020657592413186203,-0.11302722198486637,0.07171203715849397,0.04005614221083931,-0.5157159744553783,8.0,0.6049802273850715,0.49715,0.6199988040993141,-0.01592111894079883,-0.022535141571814084,1.0
published_primary,DA,rna_qc_library,panel,8,5,intercept + female + age_per_10_years + bank_Umaryland + PD,ATG4B,tested,0.04396916848582012,-0.02572513214468025,0.1136634691163205,0.030222972965090467,1.4548260535655253,8.0,0.6049802273850715,0.0885,0.18380235803667347,-0.036213945060327636,-0.016803049780037577,1.0
published_primary,DA,rna_qc_library,panel,8,5,intercept + female + age_per_10_years + bank_Umaryland + PD,ATG4C,tested,0.04703149175808721,-0.06082848226866566,0.1548914657848401,0.04677353886236289,1.0055149322030856,8.0,0.6049802273850715,0.22155,0.3440899460448305,-0.005377505144852063,0.014600330673553614,1.0
published_primary,DA,rna_qc_library,panel,8,5,intercept + female + age_per_10_years + bank_Umaryland + PD,ATG5,tested,-0.05728781219479048,-0.22582905568677505,0.11125343129719409,0.07308800575483165,-0.7838196103880333,8.0,0.6049802273850715,0.3966,0.45572378048655904,0.01954535389709115,0.007109181662594032,1.0
published_primary,DA,rna_qc_library,panel,8,5,intercept + female + age_per_10_years + bank_Umaryland + PD,ATG7,tested,0.022177033936735566,-0.14000912351330574,0.18436319138677687,0.07033211909123237,0.31531872241711206,8.0,0.6049802273850715,0.657,0.7605879037158377,0.060438351445417274,0.1151880897031425,1.0
published_primary,DA,rna_qc_library,panel,8,5,intercept + female + age_per_10_years + bank_Umaryland + PD,ATG9B,tested,-0.0924588071787685,-0.3330180581949146,0.14810044383737758,0.10431865553123344,-0.8863113381583599,8.0,0.6049802273850715,0.3902,0.4013066304076399,0.007202218808056342,-0.07393477281190455,1.0
published_primary,DA,rna_qc_library,panel,8,5,intercept + female + age_per_10_years + bank_Umaryland + PD,BCL2,tested,0.08871635100484901,-0.08052479955716499,0.25795750156686303,0.07339152085239643,1.2088092735300249,8.0,0.6049802273850715,0.1839,0.2612483810003332,-0.09584237949918531,-0.09830930366097336,1.0
published_primary,DA,rna_qc_library,panel,8,5,intercept + female + age_per_10_years + bank_Umaryland + PD,BECN1,tested,-0.0102503138881382,-0.09558110669327044,0.07508047891699404,0.03700374665802471,-0.27700746043009933,8.0,0.6049802273850715,0.7421,0.7887972322711068,-0.003326170172155345,-0.012114357332407455,1.0
published_primary,DA,rna_qc_library,panel,8,5,intercept + female + age_per_10_years + bank_Umaryland + PD,CALCOCO2,tested,-0.012700953814157864,-0.0824344012940962,0.05703249366578046,0.030239949018534266,-0.42000579453270126,8.0,0.6049802273850715,0.56725,0.6855344602655624,0.00703734573883982,-0.05132643136537786,1.0
published_primary,DA,rna_qc_library,panel,8,5,intercept + female + age_per_10_years + bank_Umaryland + PD,CLEC16A,tested,-0.01828915890957104,-0.18611212638647193,0.14953380856732987,0.07277652495383419,-0.2513057462028144,8.0,0.6049802273850715,0.7923,0.8079125147932584,-0.011221881894071667,0.011843774271915098,1.0
published_primary,DA,rna_qc_library,panel,8,5,intercept + female + age_per_10_years + bank_Umaryland + PD,CTNS,tested,0.01613376006951925,-0.19139313699815932,0.22366065713719782,0.08999415652161241,0.17927564069834545,8.0,0.6049802273850715,0.82455,0.862178607912047,-0.012885001795034708,-0.039013574982246155,1.0
