context,method,n_HC,n_iPD,model,gene,status,effect_z,se_hc3,t_hc3,df,ci_low,ci_high,p_hc3_t,max_leverage,p_wild,mean_r_HC,mean_r_iPD,q_wild_family
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,ATG10,tested,-0.0189742934646721,0.0123878896195313,-1.531680863119448,29.0,-0.0443103725180056,0.0063617855886612,0.1364384929643104,0.8092724084819486,0.09395,0.0127792254570466,-0.003430180346204,0.6081242424242425
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,ATG12,tested,-0.0101473796717582,0.0203629152829887,-0.4983264690118018,29.0,-0.0517942176087638,0.0314994582652474,0.622012474883785,0.8092724084819486,0.7378,0.0092914656107629,0.008984332329036,0.9226256410256408
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,ATG13,tested,-0.0101132843358016,0.014667875903823,-0.6894852671316665,29.0,-0.0401124589214246,0.0198858902498214,0.4959984049352821,0.8092724084819486,0.3229,-0.0047695743354176,-0.0123534350126693,0.741105
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,ATG16L1,tested,-0.0009498893713094,0.0162432776106338,-0.0584789224243482,29.0,-0.0341711222259681,0.0322713434833493,0.9537682591090582,0.8092724084819486,0.94165,0.0235610832459272,0.0140183907172213,0.964070238095238
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,ATG2A,tested,-0.0140727322803996,0.010140105658535,-1.387828959016269,29.0,-0.0348115769475929,0.0066661123867937,0.1757608395651003,0.8092724084819486,0.08415,-0.0070207472720384,-0.0121634446723356,0.6081242424242425
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,ATG2B,tested,0.0185300815782196,0.0167366498847591,1.1071559544956295,29.0,-0.0157002108760865,0.0527603740325258,0.2773257796983341,0.8092724084819486,0.21125,-0.0056356392970359,0.0008065530537301,0.6081242424242425
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,ATG3,tested,-0.0111810314291601,0.0228613659817838,-0.4890797618160387,29.0,-0.0579377747947487,0.0355757119364284,0.6284639417033347,0.8092724084819486,0.57755,0.0235141343067716,0.0238524011382835,0.8563672413793103
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,ATG4B,tested,-0.0077219822209406,0.0137578633994126,-0.5612777214571185,29.0,-0.0358599722578319,0.0204160078159507,0.5789200793100002,0.8092724084819486,0.5387,0.0166013432435733,0.005178399371984,0.8272892857142856
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,ATG4C,tested,0.0195445496723732,0.0129784032706383,1.5059286774198033,29.0,-0.0069992654042883,0.0460883647490347,0.1429013277404252,0.8092724084819486,0.1385,-0.0072871519933657,-0.0010846676636906,0.6081242424242425
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,ATG5,tested,-0.0194672683711707,0.0166374339965072,-1.1700883907492914,29.0,-0.0534946415498536,0.0145601048075122,0.2514919254001612,0.8092724084819486,0.1937,0.0234861585535462,0.0026220091165292,0.6081242424242425
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,ATG7,tested,0.0084128485335445,0.0193072389591247,0.4357354540105592,29.0,-0.0310748888933966,0.0479005859604858,0.6662549980214154,0.8092724084819486,0.6235,0.0112028661844043,0.0142075538601239,0.8876140625
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,ATG9B,tested,-0.0036606015074577,0.0210921066333256,-0.1735531481560945,29.0,-0.0467988032089592,0.0394776001940437,0.8634224333302807,0.8092724084819486,0.8368,0.0096858072615738,0.0031914632544139,0.9226256410256408
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,ATG101,tested,0.0061625744064492,0.0108354958559123,0.5687394917959988,29.0,-0.0159985029052688,0.0283236517181673,0.5739114533149224,0.8092724084819486,0.47755,0.0304033513756213,0.0314584419880423,0.7748924528301886
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,BCL2,tested,0.0058073350836341,0.0233060873134952,0.2491767496413431,29.0,-0.0418589655320594,0.0534736356993276,0.8049804777744559,0.8092724084819486,0.76215,0.0043037755971867,0.0072217727819521,0.9226256410256408
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,BECN1,tested,0.0003102965017382,0.01465317476058,0.0211760595780937,29.0,-0.0296588108699507,0.0302794038734273,0.9832502450201854,0.8092724084819486,0.9814,0.0090769792674997,0.0082127178902079,0.9814
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,CALCOCO2,tested,-0.0123867538192511,0.0112877163702079,-1.0973657924240463,29.0,-0.0354727259315869,0.0106992182930847,0.2815100792692413,0.8092724084819486,0.1647,-0.0184486924499581,-0.0215670484162278,0.6081242424242425
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,CLEC16A,tested,0.017955590485059,0.0157484892475959,1.1401468548991178,29.0,-0.0142536865429322,0.0501648675130504,0.2635544581544902,0.8092724084819486,0.24435,-0.0118386277067569,0.0018233645847274,0.6180617647058825
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,CTNS,tested,0.0123965974382823,0.009013147003026,1.3753905749146589,29.0,-0.006037357981206,0.0308305528577708,0.179542579884166,0.8092724084819486,0.08985,0.0010407888597877,0.0060639151822504,0.6081242424242425
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,EPG5,tested,-0.0144807723355762,0.015350969531163,-0.9433132093826214,29.0,-0.045877030256187,0.0169154855850344,0.3533136992094132,0.8092724084819486,0.33975,0.0108458260412843,0.0007988357973212,0.741105
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,GRN,tested,0.0040482860609111,0.0175762652395785,0.2303268644236873,29.0,-0.0318992126050615,0.0399957847268839,0.8194548562161497,0.8092724084819486,0.7699,-0.0484092251440062,-0.054049446991582,0.9226256410256408
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,GABARAP,tested,-0.0041153350950853,0.0198517180827417,-0.2073037244400027,29.0,-0.0447166573651705,0.0364859871749999,0.8372214988428436,0.8092724084819486,0.80815,-0.0079471332989914,0.0059418972402872,0.9226256410256408
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,GABARAPL1,tested,0.0230902579503919,0.0209865003698732,1.100243372808298,29.0,-0.0198319546907017,0.0660124705914857,0.2802755530844597,0.8092724084819486,0.169,0.0220536743902145,0.0236172933260266,0.6081242424242425
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,GABARAPL2,tested,0.0102072357587916,0.0257713499338436,0.3960691149277819,29.0,-0.0425010930436801,0.0629155645612633,0.6949531887016033,0.8092724084819486,0.64335,0.0228411671393439,0.0273163894186769,0.8876140625
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,LAMP2,tested,-0.0124522289255111,0.0239349259624762,-0.5202534967115822,29.0,-0.0614046489862191,0.0365001911351969,0.6068362320954935,0.8092724084819486,0.5571,-0.0278387617496397,-0.029699306650995,0.8405368421052632
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,MAP1LC3A,tested,-0.0201274928581326,0.0222412125772366,-0.9049638273199446,29.0,-0.0656158800980717,0.0253608943818065,0.3729417896456175,0.8092724084819486,0.22525,0.1131625345980422,0.0874388164769013,0.6081242424242425
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,MAP1LC3B,tested,0.0454164438491277,0.0289324200374884,1.5697423095019551,29.0,-0.0137569992301777,0.1045898869284332,0.127323268105304,0.8092724084819486,0.0487,0.1289136298231412,0.1103734554096208,0.6081242424242425
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,NBR1,tested,-0.0132400036647908,0.0367259339944411,-0.3605082900490652,29.0,-0.0883529725052308,0.0618729651756492,0.7210797410233657,0.8092724084819486,0.767,-0.0009177067988737,-0.0141053302641957,0.9226256410256408
iDA_pooled,rna_qc,8,28,intercept + female + batch_fraction_2 + batch_fraction_3 + batch_fraction_4 + batch_fraction_5 + iPD,OPTN,tested,0.0224880605415202,0.0174963219318072,1.2853021697456453,29.0,-0.0132959357017085,0.0582720567847489,0.2088570047973946,0.8092724084819486,0.10665,0.0880889134090543,0.0904814140889602,0.6081242424242425
