context,method,genes_tested,p_omnibus,statistic_mean_t2,p_holm_primary,q_secondary
iDA_pooled,rna_qc,43,0.1219,1.0673592976766848,0.2438,
Ependymal,rna_qc,0,,,,
NE,rna_qc,0,,,,
PFPP,rna_qc,0,,,,
eProg1,rna_qc,42,0.4069,0.8053407518677296,,0.6781666666666667
eProg2,rna_qc,42,0.80935,0.5548281001858535,,0.80935
iDA1,rna_qc,43,0.39115,0.8221290105132537,,0.6781666666666667
iDA2,rna_qc,43,0.3562,1.0299516529001247,,0.6781666666666667
iDA3,rna_qc,0,,,,
iDA4,rna_qc,0,,,,
lProg1,rna_qc,0,,,,
lProg2,rna_qc,43,0.69675,0.7184652021313103,,0.80935
iDA_specificity,rna_qc,43,0.4213,0.8373562646634022,0.4213,
iDA_pooled,rna_raw,43,0.05615,1.2673253504938011,0.1123,
iDA_specificity,rna_raw,43,0.20745,1.0265249310195994,0.20745,
iDA_pooled,spearman_qc,43,0.01245,1.5698097708217902,0.0249,
iDA_specificity,spearman_qc,43,0.0282,1.3427506510907479,0.0282,
iDA_pooled,sct_qc,43,0.08975,1.1360651671014255,0.1795,
iDA_specificity,sct_qc,43,0.09725,1.1472362381727998,0.1795,
