context,method,model,test,n_HC,n_iPD,design,gene,status,p_wild,effect_z,ci_low,ci_high,se_hc3,t_hc3,df,max_leverage,p_hc3_t,q_joint_pilot_family
DA,rna_qc,age_sex,full_panel,8,3,intercept + female + age_per_10_years + iPD,ATG101,Fewer than five independent donors in an arm,,,,,,,,,,
DA,rna_qc,age_sex,full_panel,8,4,intercept + female + age_per_10_years + iPD,ATG12,Fewer than five independent donors in an arm,,,,,,,,,,
DA,rna_qc,age_sex,full_panel,8,4,intercept + female + age_per_10_years + iPD,ATG13,Fewer than five independent donors in an arm,,,,,,,,,,
DA,rna_qc,age_sex,full_panel,8,4,intercept + female + age_per_10_years + iPD,ATG2B,Fewer than five independent donors in an arm,,,,,,,,,,
DA,rna_qc,age_sex,full_panel,7,5,intercept + female + age_per_10_years + iPD,ATG16L1,tested,0.44025,-0.0393595228896019,-0.18178025882877238,0.10306121304956858,0.06176083285171971,-0.6372893802144695,8.0,0.5643762686514016,0.5417406819650776,1.0
DA,rna_qc,age_sex,full_panel,8,5,intercept + female + age_per_10_years + iPD,ATG3,tested,0.76415,0.02298947526956049,-0.189990651758795,0.235969602297916,0.09414912921889722,0.2441814965288722,9.0,0.5346569700090101,0.8125658342240626,1.0
DA,rna_qc,age_sex,full_panel,8,5,intercept + female + age_per_10_years + iPD,ATG5,tested,0.05485,0.15354971175076965,-0.052795974081877084,0.3598953975834164,0.09121633511202357,1.6833576087242919,9.0,0.5346569700090101,0.12659545459878527,1.0
DA,rna_qc,age_sex,full_panel,8,5,intercept + female + age_per_10_years + iPD,BECN1,tested,0.4058,0.07000747486555006,-0.15949350975144952,0.29950845948254967,0.10145227236949345,0.6900532953128925,9.0,0.5346569700090101,0.507562629604986,1.0
DA,rna_qc,age_sex,full_panel,8,5,intercept + female + age_per_10_years + iPD,EPG5,tested,0.88625,0.008962698658066467,-0.1689446706767419,0.1868700679928748,0.07864500851887897,0.11396398610491529,9.0,0.5346569700090101,0.9117681596306835,1.0
DA,rna_qc,age_sex,full_panel,8,5,intercept + female + age_per_10_years + iPD,GABARAPL1,tested,0.0445,-0.12206265077654085,-0.28229146902320396,0.03816616747012225,0.0708301000857599,-1.7233160849518698,9.0,0.5346569700090101,0.11892560776937441,1.0
DA,rna_qc,age_sex,full_panel,8,5,intercept + female + age_per_10_years + iPD,GABARAPL2,tested,0.77635,0.031054532971878705,-0.2636973069632454,0.3258063729070028,0.1302968002355688,0.23833688099580322,9.0,0.5346569700090101,0.8169577873292373,1.0
DA,rna_qc,age_sex,full_panel,8,5,intercept + female + age_per_10_years + iPD,GRN,tested,0.97035,-0.004483175279043917,-0.24417388166667506,0.23520753110858725,0.10595669935558533,-0.042311390467143634,9.0,0.5346569700090101,0.9671742892807731,1.0
DA,rna_qc,age_sex,full_panel,8,5,intercept + female + age_per_10_years + iPD,LAMP2,tested,0.27515,-0.10816765758632076,-0.42002344547995407,0.2036881303073126,0.13785770194488456,-0.784632676015201,9.0,0.5346569700090101,0.45282600908287163,1.0
DA,rna_qc,age_sex,full_panel,8,5,intercept + female + age_per_10_years + iPD,MAP1LC3A,tested,0.5659,-0.057506501187616355,-0.35221675002508535,0.23720374764985264,0.13027841464400156,-0.4414123501944544,9.0,0.5346569700090101,0.6693289561453695,1.0
DA,rna_qc,age_sex,full_panel,8,5,intercept + female + age_per_10_years + iPD,MAP1LC3B,tested,0.52665,-0.051199878425414506,-0.2950806497920706,0.1926808929412416,0.10780894244816869,-0.47491309406016924,9.0,0.5346569700090101,0.6461617259461686,1.0
DA,rna_qc,age_sex,full_panel,8,5,intercept + female + age_per_10_years + iPD,NBR1,tested,0.27785,-0.10200871304890416,-0.3519148903338871,0.14789746423607877,0.11047250889596845,-0.9233855016813766,9.0,0.5346569700090101,0.37989638440997575,1.0
DA,rna_qc,age_sex,full_panel,8,5,intercept + female + age_per_10_years + iPD,OPTN,tested,0.61475,-0.050154752260254475,-0.30648963440989463,0.2061801298893857,0.11331435603662766,-0.44261604632022516,9.0,0.5346569700090101,0.6684899162905393,1.0
DA,rna_qc,age_sex,full_panel,8,5,intercept + female + age_per_10_years + iPD,PINK1,tested,0.7045,0.028108084289924663,-0.16826228008246066,0.22447844866231,0.08680668505562582,0.3238009177739361,9.0,0.5346569700090101,0.7534866369835536,1.0
