gene,mean_donor_detection_DA,eligible
ATG10,0.026689201992340813,False
ATG12,0.12245825501114328,True
ATG13,0.08959777930279754,True
ATG16L1,0.05930227556061258,True
ATG2A,0.03850229093221836,False
ATG2B,0.16058615269253254,True
ATG3,0.08690090968021742,True
ATG4B,0.19015567098812522,True
ATG4C,0.044245787791639804,False
ATG5,0.06160024452127223,True
ATG7,0.14548534537167232,True
ATG9B,0.007709448293115864,False
ATG101,0.0713463627932272,True
BCL2,0.03377668949753342,False
BECN1,0.10679946185420118,True
CALCOCO2,0.03189995394986971,False
CLEC16A,0.10398932962143417,True
CTNS,0.010179995903571038,False
EPG5,0.15234351432090662,True
GRN,0.1771025822119807,True
GABARAP,0.016739000612985812,False
GABARAPL1,0.5246356201144882,True
GABARAPL2,0.5614946249932928,True
LAMP2,0.2635779360202046,True
MAP1LC3A,0.5945841064710395,True
MAP1LC3B,0.6187083970331456,True
NBR1,0.2188633577680677,True
OPTN,0.5508259674519655,True
PRKN,0.09192904939571431,True
PIK3R4,0.1188401847630219,True
PINK1,0.694997188566689,True
RB1CC1,0.3343624363920012,True
SNX14,0.23610802289439653,True
SNX30,0.1049666292953711,True
SNX4,0.124929336449607,True
SQSTM1,0.5256915043304202,True
SPG11,0.055059499314437495,True
TOLLIP,0.4190552434646575,True
UVRAG,0.05075401614034089,True
WDR45,0.11464866981109928,True
WIPI1,0.01917891005569336,False
WIPI2,0.19671116208202177,True
ZFYVE21,0.04962668134128874,False
